timestamp,user,event,source_ip
2026-04-19 22:38:06,bob,logout,10.0.2.10
2026-04-19 22:38:07,eve,logout,192.168.1.100
2026-04-19 22:38:08,alice,login,10.0.0.1
2026-04-19 22:38:10,alice,access_resource,10.0.2.10
2026-04-19 22:38:12,alice,access_resource,192.168.1.100
2026-04-19 22:38:12,dave,login,192.168.1.100
2026-04-19 22:38:13,dave,login,192.168.1.100
2026-04-19 22:38:15,root,logout,192.168.1.100
2026-04-19 22:38:16,charlie,login,10.0.1.5
2026-04-19 22:38:18,root,access_resource,10.0.1.5
2026-04-19 22:38:19,root,access_resource,10.0.0.1
2026-04-19 22:38:21,charlie,login,10.0.2.10
2026-04-19 22:38:22,bob,logout,192.168.1.100
2026-04-19 22:38:23,charlie,access_resource,172.16.0.50
2026-04-19 22:38:24,root,login,10.0.1.5
2026-04-19 22:38:25,dave,access_resource,10.0.2.10
2026-04-19 22:38:26,alice,logout,10.0.2.10
2026-04-19 22:38:28,charlie,logout,192.168.1.100
2026-04-19 22:38:29,alice,access_resource,172.16.0.50
2026-04-19 22:38:30,bob,access_resource,192.168.1.100
2026-04-19 22:38:30,bob,logout,172.16.0.50
2026-04-19 22:38:32,eve,access_resource,10.0.2.10
2026-04-19 22:38:33,charlie,login,10.0.1.5
2026-04-19 22:38:35,eve,access_resource,10.0.2.10
2026-04-19 22:38:36,bob,access_resource,10.0.0.1
2026-04-19 22:38:37,bob,logout,10.0.2.10
2026-04-19 22:38:38,eve,logout,10.0.0.1
2026-04-19 22:38:40,bob,logout,172.16.0.50
2026-04-19 22:38:41,root,logout,172.16.0.50
2026-04-19 22:38:43,charlie,access_resource,10.0.0.1
2026-04-19 22:38:44,charlie,access_resource,10.0.0.1
2026-04-19 22:38:46,bob,login,172.16.0.50
2026-04-19 22:38:48,alice,logout,10.0.2.10
2026-04-19 22:38:49,charlie,login,10.0.0.1
2026-04-19 22:38:50,alice,login,10.0.1.5
2026-04-19 22:38:52,root,login,172.16.0.50
2026-04-19 22:38:53,eve,logout,10.0.1.5
2026-04-19 22:38:54,frank,login,192.168.1.100
2026-04-19 22:38:56,root,logout,172.16.0.50
2026-04-19 22:38:57,bob,logout,192.168.1.100
2026-04-19 22:38:59,root,logout,192.168.1.100
2026-04-19 22:39:01,alice,access_resource,172.16.0.50
2026-04-19 22:39:03,eve,logout,10.0.2.10
2026-04-19 22:39:04,root,logout,10.0.2.10
2026-04-19 22:39:05,bob,login,10.0.2.10
2026-04-19 22:39:07,dave,login,10.0.1.5
2026-04-19 22:39:08,root,login,172.16.0.50
2026-04-19 22:39:10,dave,logout,10.0.0.1
2026-04-19 22:39:12,eve,access_resource,172.16.0.50
2026-04-19 22:39:13,root,login,10.0.2.10
2026-04-19 22:39:14,charlie,login,172.16.0.50
2026-04-19 22:39:14,bob,access_resource,192.168.1.100
2026-04-19 22:39:15,alice,access_resource,172.16.0.50
2026-04-19 22:39:16,alice,access_resource,10.0.1.5
2026-04-19 22:39:18,root,access_resource,10.0.2.10
2026-04-19 22:39:19,bob,access_resource,172.16.0.50
2026-04-19 22:39:20,frank,access_resource,10.0.1.5
2026-04-19 22:39:21,eve,logout,10.0.1.5
2026-04-19 22:39:23,alice,login,10.0.1.5
2026-04-19 22:39:24,eve,logout,192.168.1.100
2026-04-19 22:39:26,eve,logout,192.168.1.100
2026-04-19 22:39:26,dave,logout,192.168.1.100
2026-04-19 22:39:28,eve,logout,10.0.2.10
2026-04-19 22:39:29,dave,access_resource,192.168.1.100
2026-04-19 22:39:30,charlie,login,10.0.0.1
2026-04-19 22:39:32,root,disable_mfa,198.51.100.202
2026-04-19 22:39:33,dave,logout,192.168.1.100
2026-04-19 22:39:34,dave,access_resource,10.0.0.1
2026-04-19 22:39:35,frank,failed_login,198.51.100.205
2026-04-19 22:39:36,frank,logout,10.0.2.10
2026-04-19 22:39:37,dave,access_resource,10.0.1.5
2026-04-19 22:39:39,eve,access_resource,192.168.1.100
2026-04-19 22:39:40,bob,logout,172.16.0.50
2026-04-19 22:39:42,bob,login,172.16.0.50
2026-04-19 22:39:43,charlie,access_resource,10.0.2.10
2026-04-19 22:39:45,root,access_resource,10.0.0.1
2026-04-19 22:39:47,root,logout,10.0.0.1
2026-04-19 22:39:48,alice,access_resource,172.16.0.50
2026-04-19 22:39:50,eve,access_resource,172.16.0.50
2026-04-19 22:39:52,frank,login,10.0.1.5
2026-04-19 22:39:53,eve,access_resource,10.0.2.10
2026-04-19 22:39:54,bob,logout,172.16.0.50
2026-04-19 22:39:56,dave,logout,192.168.1.100
2026-04-19 22:39:57,frank,access_resource,192.168.1.100
2026-04-19 22:39:58,dave,logout,10.0.0.1
2026-04-19 22:39:59,dave,login,192.168.1.100
2026-04-19 22:40:01,alice,login,192.168.1.100
2026-04-19 22:40:01,root,login,10.0.2.10
2026-04-19 22:40:03,charlie,logout,192.168.1.100
2026-04-19 22:40:04,frank,logout,10.0.2.10
2026-04-19 22:40:05,alice,logout,10.0.0.1
2026-04-19 22:40:06,root,login,10.0.0.1
2026-04-19 22:40:07,bob,logout,192.168.1.100
2026-04-19 22:40:09,bob,login,192.168.1.100
2026-04-19 22:40:10,root,access_resource,172.16.0.50
2026-04-19 22:40:11,root,disable_mfa,198.51.100.54
2026-04-19 22:40:12,alice,access_resource,10.0.1.5
2026-04-19 22:40:14,frank,login,10.0.1.5
2026-04-19 22:40:15,root,access_resource,192.168.1.100
2026-04-19 22:40:15,frank,login,10.0.2.10
2026-04-19 22:40:17,eve,logout,10.0.1.5
2026-04-19 22:40:18,dave,logout,192.168.1.100
2026-04-19 22:40:19,charlie,logout,10.0.1.5
2026-04-19 22:40:20,alice,logout,10.0.1.5
2026-04-19 22:40:22,root,access_resource,10.0.2.10
2026-04-19 22:40:22,bob,logout,10.0.0.1
2026-04-19 22:40:23,root,login,172.16.0.50
2026-04-19 22:40:24,bob,logout,10.0.1.5
2026-04-19 22:40:25,root,logout,192.168.1.100
2026-04-19 22:40:27,root,access_resource,192.168.1.100
2026-04-19 22:40:29,frank,login,10.0.0.1
2026-04-19 22:40:30,root,access_resource,10.0.1.5
2026-04-19 22:40:32,dave,login,10.0.1.5
2026-04-19 22:40:33,eve,access_resource,192.168.1.100
2026-04-19 22:40:34,alice,logout,10.0.2.10
2026-04-19 22:40:36,alice,login,172.16.0.50
2026-04-19 22:40:37,bob,logout,10.0.1.5
2026-04-19 22:40:38,charlie,login,192.168.1.100
2026-04-19 22:40:40,root,login,192.168.1.100
2026-04-19 22:40:41,eve,logout,10.0.2.10
2026-04-19 22:40:42,dave,access_resource,172.16.0.50
2026-04-19 22:40:43,dave,access_resource,172.16.0.50
2026-04-19 22:40:44,root,login,192.168.1.100
2026-04-19 22:40:45,charlie,login,10.0.2.10
2026-04-19 22:40:46,frank,login,10.0.0.1
2026-04-19 22:40:47,root,logout,10.0.0.1
2026-04-19 22:40:48,root,logout,10.0.2.10
2026-04-19 22:40:50,dave,login,192.168.1.100
2026-04-19 22:40:51,bob,access_resource,192.168.1.100
2026-04-19 22:40:52,alice,access_resource,172.16.0.50
2026-04-19 22:40:53,root,logout,192.168.1.100
2026-04-19 22:40:55,frank,access_resource,192.168.1.100
2026-04-19 22:40:56,frank,logout,172.16.0.50
2026-04-19 22:40:57,frank,login,172.16.0.50
2026-04-19 22:40:59,bob,access_resource,192.168.1.100
2026-04-19 22:41:00,charlie,login,10.0.2.10
2026-04-19 22:41:01,bob,logout,192.168.1.100
2026-04-19 22:41:03,root,logout,172.16.0.50
2026-04-19 22:41:05,charlie,logout,10.0.0.1
2026-04-19 22:41:05,charlie,logout,192.168.1.100
2026-04-19 22:41:06,eve,logout,10.0.1.5
2026-04-19 22:41:08,dave,access_resource,172.16.0.50
2026-04-19 22:41:09,frank,logout,10.0.1.5
2026-04-19 22:41:10,charlie,access_resource,10.0.1.5
2026-04-19 22:41:12,root,access_resource,10.0.0.1
2026-04-19 22:41:14,dave,logout,10.0.0.1
2026-04-19 22:41:15,eve,login,192.168.1.100
2026-04-19 22:41:16,alice,logout,172.16.0.50
2026-04-19 22:41:18,root,access_resource,192.168.1.100
2026-04-19 22:41:18,frank,access_resource,10.0.0.1
2026-04-19 22:41:20,charlie,access_resource,10.0.0.1
2026-04-19 22:41:20,eve,logout,172.16.0.50
2026-04-19 22:41:22,alice,access_resource,10.0.0.1
2026-04-19 22:41:24,alice,logout,172.16.0.50
2026-04-19 22:41:26,eve,access_resource,10.0.1.5
2026-04-19 22:41:27,eve,logout,10.0.0.1
2026-04-19 22:41:28,frank,access_resource,10.0.2.10
2026-04-19 22:41:29,dave,access_resource,10.0.2.10
2026-04-19 22:41:31,charlie,access_resource,10.0.0.1
2026-04-19 22:41:32,dave,login,10.0.1.5
2026-04-19 22:41:34,eve,logout,172.16.0.50
2026-04-19 22:41:35,alice,access_resource,10.0.2.10
2026-04-19 22:41:37,bob,login,192.168.1.100
2026-04-19 22:41:38,eve,logout,10.0.0.1
2026-04-19 22:41:39,dave,login,10.0.1.5
2026-04-19 22:41:41,alice,disable_mfa,198.51.100.184
2026-04-19 22:41:43,alice,logout,10.0.1.5
2026-04-19 22:41:43,dave,access_resource,10.0.2.10
2026-04-19 22:41:44,bob,modify_config,198.51.100.170
2026-04-19 22:41:45,dave,login,172.16.0.50
2026-04-19 22:41:46,charlie,logout,10.0.1.5
2026-04-19 22:41:47,root,login,10.0.1.5
2026-04-19 22:41:49,bob,logout,10.0.0.1
2026-04-19 22:41:51,bob,access_resource,192.168.1.100
2026-04-19 22:41:51,charlie,access_resource,10.0.0.1
2026-04-19 22:41:53,eve,login,172.16.0.50
2026-04-19 22:41:54,frank,access_resource,172.16.0.50
2026-04-19 22:41:56,frank,access_resource,10.0.1.5
2026-04-19 22:41:57,bob,access_resource,10.0.2.10
2026-04-19 22:41:58,eve,access_resource,10.0.2.10
2026-04-19 22:42:00,charlie,access_resource,10.0.1.5
2026-04-19 22:42:01,root,logout,10.0.1.5
2026-04-19 22:42:02,eve,modify_config,198.51.100.22
2026-04-19 22:42:03,alice,access_resource,10.0.2.10
2026-04-19 22:42:04,dave,logout,10.0.2.10
2026-04-19 22:42:06,charlie,login,172.16.0.50
2026-04-19 22:42:07,alice,login,172.16.0.50
