timestamp,user,event,source_ip
2024-04-18 08:00:00,alice,login,10.0.0.1
2024-04-18 08:15:00,bob,login,10.0.1.5
2024-04-18 08:30:00,alice,create_user,10.0.0.1
2024-04-18 08:45:00,charlie,login,10.0.2.10
2024-04-18 09:00:00,root,modify_policy,10.0.0.5
2024-04-18 09:15:00,alice,access_resource,10.0.0.1
2024-04-18 09:20:00,bob,modify_config,10.0.1.5
2024-04-18 09:30:00,alice,logout,10.0.0.1
2024-04-18 09:35:00,charlie,access_denied,10.0.2.10
2024-04-18 09:40:00,root,delete_policy,10.0.0.5
2024-04-18 09:45:00,dave,login,10.0.3.20
2024-04-18 10:00:00,alice,login,10.0.0.1
2024-04-18 10:05:00,eve,login,192.168.1.100
2024-04-18 10:10:00,bob,failed_login,10.0.1.5
2024-04-18 10:15:00,charlie,access_resource,10.0.2.10
2024-04-18 10:20:00,root,create_backup,10.0.0.5
2024-04-18 10:25:00,dave,modify_config,10.0.3.20
2024-04-18 10:30:00,alice,delete_user,10.0.0.1
2024-04-18 10:35:00,eve,access_denied,192.168.1.100
2024-04-18 10:40:00,bob,failed_login,10.0.1.5
2024-04-18 10:45:00,charlie,logout,10.0.2.10
2024-04-18 11:00:00,root,disable_mfa,10.0.0.5
2024-04-18 11:05:00,alice,access_resource,10.0.0.1
2024-04-18 11:10:00,frank,login,172.16.0.50
2024-04-18 11:15:00,bob,login,10.0.1.5
2024-04-18 11:20:00,dave,failed_login,10.0.3.20
2024-04-18 11:25:00,eve,login,192.168.1.101
2024-04-18 11:30:00,charlie,create_user,10.0.2.10
2024-04-18 11:35:00,root,modify_policy,10.0.0.5
2024-04-18 11:40:00,alice,access_resource,10.0.0.1
2024-04-18 11:45:00,bob,delete_config,10.0.1.5
2024-04-18 12:00:00,charlie,access_denied,10.0.2.10
2024-04-18 12:05:00,dave,login,10.0.3.20
2024-04-18 12:10:00,frank,failed_login,172.16.0.50
2024-04-18 12:15:00,eve,failed_login,192.168.1.101
2024-04-18 12:20:00,root,export_data,10.0.0.5
2024-04-18 12:25:00,alice,logout,10.0.0.1
2024-04-18 12:30:00,bob,access_resource,10.0.1.5
2024-04-18 12:35:00,charlie,modify_policy,10.0.2.10
2024-04-18 12:40:00,dave,access_denied,10.0.3.20
2024-04-18 12:45:00,frank,login,172.16.0.51
2024-04-18 13:00:00,alice,login,10.0.0.2
2024-04-18 13:05:00,eve,login,192.168.1.102
2024-04-18 13:10:00,bob,failed_login,10.0.1.5
2024-04-18 13:15:00,root,delete_policy,10.0.0.5
2024-04-18 13:20:00,charlie,access_resource,10.0.2.10
2024-04-18 13:25:00,dave,create_user,10.0.3.20
2024-04-18 13:30:00,frank,modify_config,172.16.0.51
2024-04-18 13:35:00,alice,failed_login,10.0.0.2
2024-04-18 13:40:00,eve,access_denied,192.168.1.102
2024-04-18 13:45:00,bob,login,10.0.1.5
2024-04-18 14:00:00,charlie,logout,10.0.2.10
2024-04-18 14:05:00,root,disable_mfa,10.0.0.5
2024-04-18 14:10:00,dave,access_resource,10.0.3.20
2024-04-18 14:15:00,frank,failed_login,172.16.0.51
2024-04-18 14:20:00,alice,login,10.0.0.1
2024-04-18 14:25:00,eve,login,192.168.1.100
2024-04-18 14:30:00,bob,modify_config,10.0.1.5
2024-04-18 14:35:00,charlie,login,10.0.2.10
2024-04-18 14:40:00,root,export_data,10.0.0.5
2024-04-18 14:45:00,dave,failed_login,10.0.3.20
2024-04-18 15:00:00,frank,login,172.16.0.52
2024-04-18 15:05:00,alice,access_resource,10.0.0.1
2024-04-18 15:10:00,eve,failed_login,192.168.1.100
2024-04-18 15:15:00,bob,delete_user,10.0.1.5
2024-04-18 15:20:00,charlie,access_denied,10.0.2.10
2024-04-18 15:25:00,root,create_backup,10.0.0.5
2024-04-18 15:30:00,dave,login,10.0.3.21
